Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,627,1646,11,4,3,2,2,2.65,156,388,544
Zero-shot,default,627,1535,11,5,3,1,2,2.55,156,362,518
Zero-shot,creative,627,1443,10,4,4,2,2,2.43,156,332,488
Few-shot,precise,1519,2804,15,7,2,1,1,4.04,342,635,977
Few-shot,default,1519,3317,16,8,3,2,1,4.97,342,740,1082
Few-shot,creative,1519,4298,17,8,2,1,1,5.92,342,943,1285
Chain-of-Thought,precise,1686,1852,19,8,3,1,1,2.96,386,435,821
Chain-of-Thought,default,1686,2439,18,8,3,1,2,3.56,386,545,931
Chain-of-Thought,creative,1686,2262,18,8,3,2,1,3.59,386,517,903
Self-Consistency,precise,1301,2575,23,9,2,1,2,3.98,281,620,901
Self-Consistency,default,1301,2659,20,8,2,2,1,3.88,281,605,886
Self-Consistency,creative,1301,2418,23,9,2,2,2,3.68,281,577,858
System Prompt,precise,843,4324,13,5,2,1,2,5.62,195,887,1082
System Prompt,default,843,2334,11,5,4,1,2,3.47,195,494,689
System Prompt,creative,843,3686,12,5,2,2,2,4.69,195,732,927
Role Prompt,precise,1098,2646,20,10,3,1,1,3.79,235,577,812
Role Prompt,default,1098,3131,20,10,3,2,1,4.24,235,665,900
Role Prompt,creative,1098,3053,20,10,2,1,1,4.65,235,677,912
Contextual,precise,796,1733,12,6,3,3,2,2.75,183,377,560
Contextual,default,796,1600,10,5,3,2,2,2.76,183,352,535
Contextual,creative,796,1989,11,6,4,2,2,3.26,183,427,610
Tree of Thoughts,precise,1782,1866,19,8,2,1,1,2.95,397,435,832
Tree of Thoughts,default,1782,1490,11,5,3,1,2,2.57,397,349,746
Tree of Thoughts,creative,1782,1508,14,7,3,1,2,2.43,397,358,755
ReAct,precise,1848,1197,9,3,4,2,2,1.96,435,255,690
ReAct,default,1848,1084,9,3,5,1,2,1.84,435,233,668
ReAct,creative,1848,1166,9,3,4,1,2,1.94,435,249,684
