Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,638,2156,19,5,3,2,1,3.27,164,467,631
Zero-shot,default,638,1651,15,5,3,2,1,3.01,164,380,544
Zero-shot,creative,638,2113,20,6,4,2,1,3.25,164,473,637
Few-shot,precise,1530,3961,26,10,3,2,1,5.80,350,897,1247
Few-shot,default,1530,4681,15,6,2,1,1,7.10,350,1112,1462
Few-shot,creative,1530,4244,22,8,3,2,1,5.70,350,942,1292
Chain-of-Thought,precise,1697,2357,24,8,3,2,1,3.75,394,543,937
Chain-of-Thought,default,1697,2745,28,8,3,1,1,4.30,394,637,1031
Chain-of-Thought,creative,1697,2654,23,7,3,3,1,3.87,394,589,983
Self-Consistency,precise,1312,2397,22,6,2,2,1,3.65,289,554,843
Self-Consistency,default,1312,2329,20,6,3,3,1,3.29,289,540,829
Self-Consistency,creative,1312,2224,20,6,2,3,1,3.48,289,507,796
System Prompt,precise,854,3275,16,6,5,2,3,4.59,203,695,898
System Prompt,default,854,3414,15,5,5,1,2,5.00,203,716,919
System Prompt,creative,854,2926,15,5,3,2,1,4.16,203,640,843
Role Prompt,precise,1109,3330,33,10,3,2,1,4.86,243,776,1019
Role Prompt,default,1109,2839,25,10,2,2,1,4.28,243,617,860
Role Prompt,creative,1109,4046,35,11,3,2,1,5.74,243,883,1126
Contextual,precise,820,2312,15,8,4,2,3,3.64,192,505,697
Contextual,default,820,2349,20,10,3,2,2,4.00,192,555,747
Contextual,creative,820,2244,17,7,4,2,2,3.47,192,484,676
Tree of Thoughts,precise,1793,1698,17,7,2,2,1,3.06,405,398,803
Tree of Thoughts,default,1793,1810,18,8,3,2,1,2.87,405,427,832
Tree of Thoughts,creative,1793,1589,14,6,3,2,2,2.88,405,370,775
ReAct,precise,1859,1359,9,3,3,3,1,2.20,443,276,719
ReAct,default,1859,1043,9,3,3,3,1,1.85,443,227,670
ReAct,creative,1859,1321,9,3,2,2,1,2.05,443,285,728
