Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,579,1055,11,4,5,1,2,1.93,154,272,426
Zero-shot,default,579,1324,13,5,4,2,2,2.32,154,344,498
Zero-shot,creative,579,957,11,4,4,1,2,1.70,154,242,396
Few-shot,precise,1471,3053,18,8,5,1,2,4.56,340,732,1072
Few-shot,default,1471,2069,12,5,5,2,2,3.17,340,498,838
Few-shot,creative,1471,2101,15,6,4,1,2,3.37,340,549,889
Chain-of-Thought,precise,1638,1807,17,6,4,2,1,3.18,384,456,840
Chain-of-Thought,default,1638,1530,16,6,4,1,2,2.64,384,388,772
Chain-of-Thought,creative,1638,1504,14,5,4,2,1,2.66,384,372,756
Self-Consistency,precise,1253,2089,17,6,4,2,1,3.38,279,517,796
Self-Consistency,default,1253,3092,25,11,4,2,2,4.69,279,743,1022
Self-Consistency,creative,1253,2011,18,6,3,1,1,3.11,279,516,795
System Prompt,precise,795,2739,10,4,5,1,4,3.84,193,618,811
System Prompt,default,795,2531,11,5,5,1,3,3.58,193,542,735
System Prompt,creative,795,2957,11,5,5,1,4,4.59,193,685,878
Role Prompt,precise,1050,2386,20,10,3,1,1,3.47,233,540,773
Role Prompt,default,1050,2204,18,8,3,1,1,3.42,233,525,758
Role Prompt,creative,1050,2207,18,8,4,2,2,3.52,233,521,754
Contextual,precise,760,2340,19,10,3,1,1,3.74,182,577,759
Contextual,default,760,2400,18,9,4,1,2,3.91,182,582,764
Contextual,creative,760,2097,17,8,4,2,1,3.47,182,520,702
Tree of Thoughts,precise,1734,1204,13,6,3,1,1,2.11,395,294,689
Tree of Thoughts,default,1734,1598,13,5,3,1,1,2.68,395,389,784
Tree of Thoughts,creative,1734,1466,16,6,3,1,2,2.76,395,386,781
ReAct,precise,1800,922,9,3,4,1,1,1.96,433,247,680
ReAct,default,1800,899,9,3,4,1,1,1.82,433,232,665
ReAct,creative,1800,1187,9,3,4,1,1,2.27,433,280,713
