Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,543,1819,14,6,3,1,2,2.76,144,392,536
Zero-shot,default,543,1454,11,5,3,1,2,2.58,144,326,470
Zero-shot,creative,543,1504,11,5,5,2,2,2.45,144,316,460
Few-shot,precise,1435,3455,12,6,3,1,1,4.60,330,719,1049
Few-shot,default,1435,2262,14,7,3,1,1,3.65,330,535,865
Few-shot,creative,1435,4418,15,8,3,1,1,6.17,330,968,1298
Chain-of-Thought,precise,1602,1877,16,7,3,1,1,2.85,374,409,783
Chain-of-Thought,default,1602,2139,18,8,3,1,1,3.07,374,441,815
Chain-of-Thought,creative,1602,1634,15,6,4,1,1,2.44,374,346,720
Self-Consistency,precise,1217,2263,21,9,3,1,2,3.58,269,511,780
Self-Consistency,default,1217,2035,17,6,4,2,2,3.06,269,441,710
Self-Consistency,creative,1217,2156,19,6,5,1,2,3.19,269,482,751
System Prompt,precise,759,3811,16,6,5,2,2,5.63,183,852,1035
System Prompt,default,759,2213,11,5,5,1,2,3.24,183,476,659
System Prompt,creative,759,3229,12,5,4,2,2,5.11,183,811,994
Role Prompt,precise,1014,2668,20,10,3,1,1,3.67,223,540,763
Role Prompt,default,1014,3622,23,10,3,1,1,4.90,223,726,949
Role Prompt,creative,1014,3142,20,10,4,1,1,4.00,223,615,838
Contextual,precise,719,2813,20,10,4,2,1,4.01,171,595,766
Contextual,default,719,2570,20,11,4,2,1,3.73,171,538,709
Contextual,creative,719,2375,19,11,4,2,2,3.53,171,503,674
Tree of Thoughts,precise,1698,1403,12,6,3,2,2,2.37,385,312,697
Tree of Thoughts,default,1698,1219,12,6,5,3,2,2.17,385,264,649
Tree of Thoughts,creative,1698,1763,16,6,4,1,1,2.83,385,371,756
ReAct,precise,1764,975,9,3,3,2,1,1.66,423,207,630
ReAct,default,1764,1179,9,3,3,1,1,1.94,423,252,675
ReAct,creative,1764,975,9,3,4,2,1,1.62,423,213,636
