Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,571,1759,16,6,4,3,1,2.83,148,392,540
Zero-shot,default,571,1660,15,5,3,3,1,2.68,148,359,507
Zero-shot,creative,571,1702,16,5,3,3,2,2.65,148,384,532
Few-shot,precise,1463,4625,16,8,3,2,2,6.34,334,1032,1366
Few-shot,default,1463,3599,15,8,3,2,1,5.02,334,807,1141
Few-shot,creative,1463,4237,15,7,2,2,1,5.92,334,989,1323
Chain-of-Thought,precise,1630,1957,15,6,3,2,1,2.77,378,433,811
Chain-of-Thought,default,1630,1894,18,8,3,2,1,2.94,378,439,817
Chain-of-Thought,creative,1630,2025,16,6,3,3,1,3.29,378,433,811
Self-Consistency,precise,1245,2306,18,6,3,3,1,3.80,273,531,804
Self-Consistency,default,1245,2804,23,9,3,3,1,4.15,273,629,902
Self-Consistency,creative,1245,3655,35,10,3,3,2,4.89,273,843,1116
System Prompt,precise,787,4123,13,5,2,2,1,5.37,187,857,1044
System Prompt,default,787,2898,11,4,5,2,2,3.73,187,573,760
System Prompt,creative,787,2753,12,4,3,2,2,3.99,187,629,816
Role Prompt,precise,1042,3600,25,10,3,2,1,4.57,227,758,985
Role Prompt,default,1042,3839,26,10,3,2,1,5.03,227,826,1053
Role Prompt,creative,1042,2633,24,9,3,2,1,3.88,227,578,805
Contextual,precise,764,2671,20,10,3,3,2,3.89,177,589,766
Contextual,default,764,1674,14,6,3,3,2,2.74,177,372,549
Contextual,creative,764,2228,17,9,4,3,2,3.37,177,475,652
Tree of Thoughts,precise,1726,4252,36,8,3,3,1,5.21,389,923,1312
Tree of Thoughts,default,1726,3626,14,6,1,1,1,4.69,389,792,1181
Tree of Thoughts,creative,1726,1540,16,7,3,3,2,2.55,389,357,746
ReAct,precise,1792,936,9,3,3,3,1,1.57,427,192,619
ReAct,default,1792,1056,9,3,4,3,1,1.90,427,212,639
ReAct,creative,1792,1042,9,3,3,3,1,2.04,427,223,650
