Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,623,1113,8,3,5,1,2,2.04,160,261,421
Zero-shot,default,623,1364,9,4,5,1,2,2.35,160,325,485
Zero-shot,creative,623,1287,10,4,4,1,2,2.45,160,324,484
Few-shot,precise,1515,3022,17,7,4,1,1,4.49,346,715,1061
Few-shot,default,1515,2523,15,6,4,1,2,3.59,346,615,961
Few-shot,creative,1515,2888,15,5,4,1,1,4.28,346,668,1014
Chain-of-Thought,precise,1682,1658,12,5,4,1,1,2.96,390,406,796
Chain-of-Thought,default,1682,1521,12,5,4,1,2,2.71,390,374,764
Chain-of-Thought,creative,1682,1779,11,4,5,1,1,2.90,390,418,808
Self-Consistency,precise,1297,2427,18,6,4,1,2,3.62,285,561,846
Self-Consistency,default,1297,2236,21,6,3,2,1,3.54,285,530,815
Self-Consistency,creative,1297,2009,19,8,4,1,1,3.26,285,493,778
System Prompt,precise,839,2366,9,4,5,1,3,3.37,199,543,742
System Prompt,default,839,2076,9,4,5,1,3,2.98,199,446,645
System Prompt,creative,839,2529,10,5,5,2,3,3.96,199,548,747
Role Prompt,precise,1094,2484,18,8,5,1,1,3.68,239,544,783
Role Prompt,default,1094,2284,15,6,4,1,1,3.59,239,530,769
Role Prompt,creative,1094,3004,20,10,4,1,1,4.89,239,680,919
Contextual,precise,801,3061,15,7,5,1,4,4.25,190,671,861
Contextual,default,801,2853,13,7,5,1,4,4.02,190,631,821
Contextual,creative,801,3175,20,10,5,1,3,4.70,190,733,923
Tree of Thoughts,precise,1778,1111,10,4,4,1,1,2.25,401,265,666
Tree of Thoughts,default,1778,1207,10,4,4,1,1,2.14,401,285,686
Tree of Thoughts,creative,1778,994,10,4,3,1,1,2.25,401,240,641
ReAct,precise,1844,1361,9,3,4,1,1,2.76,439,322,761
ReAct,default,1844,1458,9,3,4,1,1,2.45,439,332,771
ReAct,creative,1844,1452,9,3,5,1,1,2.55,439,328,767
