Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,552,851,8,4,2,1,2,1.55,146,193,339
Zero-shot,default,552,983,10,4,4,1,1,1.68,146,213,359
Zero-shot,creative,552,1048,9,4,4,1,2,1.84,146,224,370
Few-shot,precise,1444,2503,12,6,3,1,1,3.38,332,551,883
Few-shot,default,1444,2962,13,6,3,2,1,3.92,332,628,960
Few-shot,creative,1444,2953,10,5,3,1,1,4.46,332,663,995
Chain-of-Thought,precise,1611,1488,12,6,2,1,2,2.55,376,333,709
Chain-of-Thought,default,1611,1129,10,5,2,1,2,1.94,376,258,634
Chain-of-Thought,creative,1611,1216,10,5,3,1,2,2.03,376,266,642
Self-Consistency,precise,1226,2148,16,6,3,1,2,3.12,271,494,765
Self-Consistency,default,1226,1855,15,6,4,1,1,2.91,271,420,691
Self-Consistency,creative,1226,2043,16,8,2,1,1,3.08,271,453,724
System Prompt,precise,768,1854,9,4,5,1,2,3.20,185,444,629
System Prompt,default,768,3898,11,5,5,1,3,5.60,185,859,1044
System Prompt,creative,768,2530,12,6,4,1,3,4.08,185,554,739
Role Prompt,precise,1023,2407,18,9,3,1,1,3.46,225,521,746
Role Prompt,default,1023,2338,18,9,3,1,1,3.38,225,503,728
Role Prompt,creative,1023,2160,14,7,3,1,1,3.50,225,472,697
Contextual,precise,728,2063,16,8,2,2,2,3.02,173,438,611
Contextual,default,728,1866,12,7,3,2,2,2.96,173,397,570
Contextual,creative,728,1944,17,11,3,1,2,3.07,173,433,606
Tree of Thoughts,precise,1707,974,10,5,2,1,1,2.04,387,221,608
Tree of Thoughts,default,1707,1060,11,5,2,2,1,1.84,387,242,629
Tree of Thoughts,creative,1707,1026,9,4,3,1,1,1.85,387,225,612
ReAct,precise,1773,1038,9,3,4,1,1,1.93,425,239,664
ReAct,default,1773,1086,9,3,4,2,2,1.83,425,248,673
ReAct,creative,1773,1111,9,3,5,1,1,1.75,425,244,669
