Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,552,1261,10,4,5,2,2,2.29,145,296,441
Zero-shot,default,552,1681,12,5,5,3,2,2.71,145,368,513
Zero-shot,creative,552,1317,12,5,4,2,2,2.35,145,316,461
Few-shot,precise,1444,2970,17,8,4,2,2,4.30,331,664,995
Few-shot,default,1444,2333,15,7,3,2,2,3.57,331,550,881
Few-shot,creative,1444,3680,13,6,3,2,1,5.32,331,866,1197
Chain-of-Thought,precise,1611,1644,16,6,4,2,2,2.78,375,385,760
Chain-of-Thought,default,1611,1648,17,7,4,2,2,2.83,375,393,768
Chain-of-Thought,creative,1611,2039,18,7,3,2,2,3.26,375,465,840
Self-Consistency,precise,1226,2222,20,6,3,2,2,3.59,270,542,812
Self-Consistency,default,1226,2688,21,9,3,2,2,4.31,270,631,901
Self-Consistency,creative,1226,3155,24,9,4,3,2,5.15,270,733,1003
System Prompt,precise,768,4306,10,4,4,2,3,6.14,184,899,1083
System Prompt,default,768,3651,11,5,5,2,4,5.35,184,772,956
System Prompt,creative,768,2351,12,5,3,2,2,4.14,184,635,819
Role Prompt,precise,1023,3223,25,10,3,2,1,4.80,224,717,941
Role Prompt,default,1023,2810,22,9,3,1,1,4.24,224,608,832
Role Prompt,creative,1023,3041,20,10,3,1,1,4.47,224,674,898
Contextual,precise,730,2452,15,8,3,1,2,3.64,172,546,718
Contextual,default,730,2849,18,8,5,2,2,4.35,172,704,876
Contextual,creative,730,2995,15,8,4,1,3,4.80,172,700,872
Tree of Thoughts,precise,1707,1318,15,7,3,2,2,2.15,386,311,697
Tree of Thoughts,default,1707,1570,15,7,3,2,1,2.54,386,360,746
Tree of Thoughts,creative,1707,1317,13,6,3,2,2,2.66,386,323,709
ReAct,precise,1773,843,9,3,5,3,2,1.73,424,202,626
ReAct,default,1773,937,9,3,3,2,2,1.63,424,206,630
ReAct,creative,1773,1319,9,3,5,3,3,2.24,424,295,719
