Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,570,1368,11,4,3,2,2,2.45,149,316,465
Zero-shot,default,570,1358,11,4,3,2,2,2.25,149,308,457
Zero-shot,creative,570,1134,9,4,3,1,3,2.03,149,264,413
Few-shot,precise,1462,2435,13,6,4,2,2,3.58,335,543,878
Few-shot,default,1462,2717,15,7,3,1,1,3.99,335,620,955
Few-shot,creative,1462,2525,16,7,3,1,1,3.88,335,595,930
Chain-of-Thought,precise,1629,1581,16,6,3,2,1,2.55,379,361,740
Chain-of-Thought,default,1629,1683,16,5,3,1,1,2.76,379,390,769
Chain-of-Thought,creative,1629,1446,13,5,3,2,1,2.44,379,317,696
Self-Consistency,precise,1244,2046,19,6,3,2,2,3.11,274,481,755
Self-Consistency,default,1244,3821,33,11,3,1,2,5.18,274,894,1168
Self-Consistency,creative,1244,2055,18,6,3,1,2,3.06,274,480,754
System Prompt,precise,786,2589,11,5,5,1,3,3.80,188,601,789
System Prompt,default,786,2710,10,4,3,1,1,4.07,188,588,776
System Prompt,creative,786,2132,9,4,4,1,2,3.36,188,489,677
Role Prompt,precise,1041,2595,24,10,3,1,1,3.58,228,586,814
Role Prompt,default,1041,3005,22,10,3,1,1,4.19,228,645,873
Role Prompt,creative,1041,3173,25,10,3,1,1,4.60,228,698,926
Contextual,precise,746,2012,14,7,5,2,2,3.63,176,467,643
Contextual,default,746,2206,20,10,5,2,2,3.52,176,517,693
Contextual,creative,746,2209,19,11,4,1,2,3.56,176,529,705
Tree of Thoughts,precise,1725,1733,17,8,3,1,1,3.01,390,407,797
Tree of Thoughts,default,1725,1543,15,6,3,2,1,2.46,390,355,745
Tree of Thoughts,creative,1725,1674,15,6,3,1,1,2.90,390,384,774
ReAct,precise,1791,1004,9,3,4,3,2,1.84,428,215,643
ReAct,default,1791,1057,9,3,3,2,1,2.04,428,239,667
ReAct,creative,1791,1047,9,3,3,2,1,1.71,428,233,661
