Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,595,1260,10,4,4,2,2,1.99,154,284,438
Zero-shot,default,595,1153,11,5,3,1,1,2.07,154,263,417
Zero-shot,creative,595,1169,9,4,3,2,2,2.10,154,261,415
Few-shot,precise,1487,2808,16,7,3,1,2,4.07,340,674,1014
Few-shot,default,1487,3484,13,6,3,1,1,4.62,340,773,1113
Few-shot,creative,1487,2423,14,7,3,1,1,3.31,340,559,899
Chain-of-Thought,precise,1654,1795,15,6,2,2,1,2.66,384,396,780
Chain-of-Thought,default,1654,1824,14,6,3,2,1,2.66,384,407,791
Chain-of-Thought,creative,1654,1671,14,5,2,2,1,2.42,384,368,752
Self-Consistency,precise,1269,2027,19,8,2,2,1,2.99,279,456,735
Self-Consistency,default,1269,1888,17,6,3,2,1,2.91,279,443,722
Self-Consistency,creative,1269,2530,20,8,2,2,1,3.49,279,586,865
System Prompt,precise,811,2625,11,5,4,1,3,3.77,193,590,783
System Prompt,default,811,2469,13,6,4,2,2,3.35,193,524,717
System Prompt,creative,811,2416,10,4,3,1,1,3.32,193,495,688
Role Prompt,precise,1066,2370,20,10,3,2,1,3.11,233,519,752
Role Prompt,default,1066,2524,20,10,2,1,1,3.56,233,553,786
Role Prompt,creative,1066,2517,20,10,4,1,2,3.76,233,558,791
Contextual,precise,769,2047,16,10,4,2,2,2.92,181,447,628
Contextual,default,769,1671,14,8,5,2,2,2.59,181,381,562
Contextual,creative,769,1768,14,7,4,2,2,2.75,181,399,580
Tree of Thoughts,precise,1750,1258,13,6,2,2,1,1.98,395,292,687
Tree of Thoughts,default,1750,1186,14,6,2,2,1,2.11,395,286,681
Tree of Thoughts,creative,1750,1206,11,5,2,1,1,1.90,395,277,672
ReAct,precise,1816,892,9,3,4,2,1,1.44,433,193,626
ReAct,default,1816,976,9,3,5,2,1,1.56,433,219,652
ReAct,creative,1816,1024,9,3,5,3,2,1.62,433,222,655
