Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,583,2182,16,5,4,2,1,3.16,152,516,668
Zero-shot,default,583,1704,14,4,4,2,1,2.82,152,416,568
Zero-shot,creative,583,1631,14,4,4,2,2,2.69,152,400,552
Few-shot,precise,1475,2733,18,7,4,2,2,3.95,338,654,992
Few-shot,default,1475,3060,17,7,3,2,1,4.43,338,714,1052
Few-shot,creative,1475,5402,23,10,3,2,1,7.77,338,1250,1588
Chain-of-Thought,precise,1642,1831,16,6,4,2,1,2.95,382,434,816
Chain-of-Thought,default,1642,2010,21,6,3,2,1,3.16,382,502,884
Chain-of-Thought,creative,1642,2509,20,8,3,2,1,3.99,382,584,966
Self-Consistency,precise,1257,2384,22,6,3,3,1,3.78,277,584,861
Self-Consistency,default,1257,2715,25,6,2,2,1,4.06,277,677,954
Self-Consistency,creative,1257,3332,30,6,3,2,1,4.79,277,805,1082
System Prompt,precise,799,3568,12,5,5,2,3,5.35,191,798,989
System Prompt,default,799,3715,10,4,5,2,3,4.80,191,756,947
System Prompt,creative,799,3649,10,4,5,1,2,5.03,191,792,983
Role Prompt,precise,1054,3293,23,10,3,1,1,4.57,231,718,949
Role Prompt,default,1054,3152,22,10,3,2,1,4.22,231,688,919
Role Prompt,creative,1054,2275,15,5,4,2,1,3.56,231,504,735
Contextual,precise,759,2672,21,9,4,2,2,4.17,180,628,808
Contextual,default,759,2827,22,10,4,2,1,4.39,180,693,873
Contextual,creative,759,2730,19,10,4,2,2,4.29,180,622,802
Tree of Thoughts,precise,1738,1908,19,6,4,2,1,3.05,393,466,859
Tree of Thoughts,default,1738,1556,15,7,3,2,1,2.36,393,368,761
Tree of Thoughts,creative,1738,1120,10,4,4,2,2,2.04,393,265,658
ReAct,precise,1804,1028,9,3,4,2,2,1.84,431,240,671
ReAct,default,1804,834,9,3,4,2,2,1.84,431,212,643
ReAct,creative,1804,899,9,3,4,2,1,1.63,431,211,642
