Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,574,1241,12,5,3,2,2,3.32,149,294,443
Zero-shot,default,574,1293,9,4,5,3,3,2.35,149,299,448
Zero-shot,creative,574,1771,14,6,5,2,3,2.86,149,407,556
Few-shot,precise,1466,2946,15,7,4,2,2,4.19,335,649,984
Few-shot,default,1466,2336,14,7,4,1,2,3.46,335,541,876
Few-shot,creative,1466,2904,15,6,4,2,2,4.19,335,632,967
Chain-of-Thought,precise,1633,1829,17,7,4,3,2,7.98,379,418,797
Chain-of-Thought,default,1633,1873,16,6,3,2,2,2.84,379,424,803
Chain-of-Thought,creative,1633,1683,14,5,5,2,1,2.47,379,376,755
Self-Consistency,precise,1248,2438,20,6,4,2,2,3.68,274,594,868
Self-Consistency,default,1248,2144,18,6,3,2,2,3.37,274,517,791
Self-Consistency,creative,1248,2345,18,6,3,1,2,3.57,274,572,846
System Prompt,precise,790,1925,11,5,5,3,3,3.03,188,416,604
System Prompt,default,790,2134,11,5,5,3,3,3.30,188,455,643
System Prompt,creative,790,2863,11,5,5,1,4,4.42,188,679,867
Role Prompt,precise,1045,2528,20,10,3,2,1,3.88,228,544,772
Role Prompt,default,1045,2552,20,10,4,2,1,3.78,228,533,761
Role Prompt,creative,1045,2640,17,8,3,2,2,3.87,228,554,782
Contextual,precise,767,1718,12,6,4,2,3,2.86,178,373,551
Contextual,default,767,2028,14,8,5,1,3,3.16,178,453,631
Contextual,creative,767,2087,13,7,4,3,2,3.07,178,454,632
Tree of Thoughts,precise,1729,1535,15,6,4,2,2,2.51,390,357,747
Tree of Thoughts,default,1729,1116,11,5,3,2,2,1.92,390,257,647
Tree of Thoughts,creative,1729,1669,15,6,3,2,2,2.90,390,383,773
ReAct,precise,1795,1261,9,3,4,4,1,2.09,428,276,704
ReAct,default,1795,1109,9,3,5,4,1,2.00,428,254,682
ReAct,creative,1795,1154,9,3,3,3,1,1.93,428,245,673
